"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 03 16:06:21 GMT 2023","Fri Nov 03 16:06:24 GMT 2023","2709","Surefire suite","Surefire test","runner.RunTest","runner.RunTest","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 03 16:06:22 GMT 2023","Fri Nov 03 16:06:24 GMT 2023","2396","","List Users","","List Users with valid page value","","List Users with valid page value",""
"passed","Fri Nov 03 16:06:17 GMT 2023","Fri Nov 03 16:06:18 GMT 2023","1292","Rest-Assured TestNG Tests","ListUsers","services.ListUsers","services.ListUsers","testListUserWithValidPageNumber","testListUserWithValidPageNumber",""
